,year,roll_number,congress,session,chamber,bill,vote_question,vote_type,date,time,vote_result,description,yea,nay,not_voting
31,1990,31,101,2,Senate,S. 1630,On the Motion to Table S.Amdt. 1319: Motion to Table Amdt. No. 1319; To require the use of oxygenated fuels within carbon monoxide non-attainment areas.,1/2,7/3/1990,10:34PM,Motion to Table Agreed to,To require the use of oxygenated fuels within carbon monoxide non-attainment areas.,53,43,4
32,1990,32,101,2,Senate,S. 1630,"On the Motion to Table S.Amdt. 1327: Motion to Table Amdt. No. 1327; To establish restrictions on the importation of products, goods, or commodities if the production, manufacture or transportation of such items results in emission of hazardous air pollutants.",1/2,8/3/1990,03:26PM,Motion to Table Agreed to,"To establish restrictions on the importation of products, goods, or commodities if the production, manufacture or transportation of such items results in emission of hazardous air pollutants.",81,16,3
33,1990,33,101,2,Senate,S. 1630,On the Amendment S.Amdt. 1334: Gore Amdt. No. 1334; Concerning a reduction of ozone depleting chemicals.,1/2,8/3/1990,07:41PM,Amendment Agreed to,Concerning a reduction of ozone depleting chemicals.,80,16,4
34,1990,34,101,2,Senate,S. 1630,On the Motion to Table S.Amdt. 1335: Motion to Table Amdt. No. 1335; To require the regulation of mobile sources of air toxics.,1/2,8/3/1990,09:33PM,Motion to Table Agreed to,To require the regulation of mobile sources of air toxics.,65,33,2
35,1990,35,101,2,Senate,S. 1630,On the Motion to Table S.Amdt. 1344: Motion to Table Amdt. No. 1344; To require an alternative-fuels program for the areas with the worst ozone non-attainment.,1/2,20/3/1990,07:21PM,Motion to Table Agreed to,To require an alternative-fuels program for the areas with the worst ozone non-attainment.,52,46,2
36,1990,36,101,2,Senate,S. 1630,On the Amendment S.Amdt. 1345: Boschwitz Amdt. No. 1345; To require States to adopt a small stationary source technical and environmental compliance assistance program.,1/2,21/3/1990,10:04AM,Amendment Agreed to,To require States to adopt a small stationary source technical and environmental compliance assistance program.,98,0,2
37,1990,37,101,2,Senate,S. 1630,On the Motion to Table S.Amdt. 1348: Motion to Table Amdt. No. 1348; To require the Environmental Protection Agency to prepare a comprehensive Federal plan when a state has failed to submit an adequate state plan for attainment of an air quality standard by an area.,1/2,21/3/1990,03:01PM,Motion to Table Agreed to,To require the Environmental Protection Agency to prepare a comprehensive Federal plan when a state has failed to submit an adequate state plan for attainment of an air quality standard by an area.,53,46,1
38,1990,38,101,2,Senate,S. 1630,On the Amendment S.Amdt. 1354: Adams Amdt. No. 1354; Relating to visibility in national parks and wilderness areas.,1/2,21/3/1990,05:28PM,Amendment Agreed to,Relating to visibility in national parks and wilderness areas.,92,7,1
39,1990,39,101,2,Senate,S. 1630,On the Amendment S.Amdt. 1355: Helms Amdt. No. 1355; Urging the President to recognize and establish relations with the current democratic government of Lithuania.,1/2,21/3/1990,07:21PM,Amendment Rejected,Urging the President to recognize and establish relations with the current democratic government of Lithuania.,36,59,5
40,1990,40,101,2,Senate,S. 1630,On the Motion to Table S.Amdt. 1321: Motion to Table Amdt. No. 1321; To express the sense of the Senate regarding provisions that should be included in the bill by the House of Representatives concerning global environmental protection and enhanced competitiveness of domestic business.,1/2,22/3/1990,06:55PM,Motion to Table Agreed to,To express the sense of the Senate regarding provisions that should be included in the bill by the House of Representatives concerning global environmental protection and enhanced competitiveness of domestic business.,52,47,1
41,1990,41,101,2,Senate,S. 1630,On the Motion to Table S.Amdt. 1372: Motion to Table Amdt. No. 1372; To waive provisions of Title III requiring catalytic emission reductions if they cannot be attained through other means that do not increase the United States' dependence on the Republic of South Africa for strategic minerals.,1/2,22/3/1990,08:14PM,Motion to Table Agreed to,To waive provisions of Title III requiring catalytic emission reductions if they cannot be attained through other means that do not increase the United States' dependence on the Republic of South Africa for strategic minerals.,91,5,4
42,1990,42,101,2,Senate,S.Con.Res. 108,On the Concurrent Resolution: S.Con.Res. 108; A concurrent resolution concerning the right of self-determination of the Lithuanian people.,1/2,22/3/1990,10:09PM,Concurrent Resolution Agreed to,,93,0,7
43,1990,43,101,2,Senate,S. 1630,On the Motion to Table S.Amdt. 1373: Motion to Table Amdt. No. 1373; To insert a new title V and VI.,1/2,27/3/1990,09:30AM,Motion to Table Failed,To insert a new title V and VI.,47,50,3
44,1990,44,101,2,Senate,S. 1630,On the Amendment S.Amdt. 1373: Nickles Amdt. No. 1373; To insert a new title V and VI.,1/2,27/3/1990,02:39PM,Amendment Rejected,To insert a new title V and VI.,47,50,
45,1990,45,101,2,Senate,S. 1630,On the Motion to Table S.Amdt. 1330: Motion to Table Amdt. No. 1330; To provide a tax credit for equipment necessary to meet acid rain reduction standards.,1/2,28/3/1990,12:15PM,Motion to Table Agreed to,To provide a tax credit for equipment necessary to meet acid rain reduction standards.,71,26,3
46,1990,46,101,2,Senate,S. 1630,On the Motion to Table S.Amdt. 1411: Motion to Table Amdt. No. 1411; To provide solar and renewable energy regulatory incentives.,1/2,28/3/1990,03:43PM,Motion to Table Failed,To provide solar and renewable energy regulatory incentives.,40,57,3
47,1990,47,101,2,Senate,S. 1630,On the Amendment S.Amdt. 1329: Byrd Amdt. No. 1329 - Further Modified; To provide benefits for terminated coal mine workers.,1/2,29/3/1990,03:09PM,Amendment Rejected,To provide benefits for terminated coal mine workers.,49,50,1
48,1990,48,101,2,Senate,S. 1630,On the Motion to Table S.Amdt. 1423: Motion to Table Amdt. No. 1423; To provide for the use of oxygenated fuels and other benign additives to replace the toxic aromatics that are now used to boost octane in gasoline.,1/2,29/3/1990,07:24PM,Motion to Table Failed,To provide for the use of oxygenated fuels and other benign additives to replace the toxic aromatics that are now used to boost octane in gasoline.,30,69,1
49,1990,49,101,2,Senate,S. 1630,On the Motion to Table S.Amdt. 1438: Motion to Table Amdt. No. 1438; Applicability of new source requirements to certain upgrades of existing facilities under titles I and IV.,1/2,3/4/1990,11:03AM,Motion to Table Agreed to,Applicability of new source requirements to certain upgrades of existing facilities under titles I and IV.,64,33,3
50,1990,50,101,2,Senate,S. 1630,On the Motion to Table S.Amdt. 1431: Motion to Table Amdt. No. 1431; To restrict the importation of electricity generated from foreign fossil fuel utilities.,1/2,3/4/1990,11:46AM,Motion to Table Agreed to,To restrict the importation of electricity generated from foreign fossil fuel utilities.,57,40,3
51,1990,51,101,2,Senate,S. 1630,"On the Motion to Table S.Amdt. 1432: Motion to Table Amdt. No. 1432; To redefine the terms ""repowering"" and ""qualifying phase I technology"".",1/2,3/4/1990,12:35PM,Motion to Table Agreed to,"To redefine the terms ""repowering"" and ""qualifying phase I technology"".",65,31,4
52,1990,52,101,2,Senate,S. 1630,"On the Motion to Table S.Amdt. 1439: Motion to Table Amdt. No. 1439; To allow communities to decide whether or not plants exceeding the emission limitations imposed by subsection 112 (f) of the Clean Air Act do, in fact, impose upon the community an ""unacceptable"" risk.",1/2,3/4/1990,03:08PM,Motion to Table Agreed to,"To allow communities to decide whether or not plants exceeding the emission limitations imposed by subsection 112 (f) of the Clean Air Act do, in fact, impose upon the community an ""unacceptable"" risk.",82,15,3
53,1990,53,101,2,Senate,S. 1630,On the Amendment S.Amdt. 1456: Dole - Nickles - Heflin Amdt. No. 1456; To establish operating permits to facilitate enforcement and to provide a process for implementing new control requirements.,1/2,3/4/1990,08:02PM,Amendment Rejected,To establish operating permits to facilitate enforcement and to provide a process for implementing new control requirements.,49,51,
54,1990,54,101,2,Senate,S. 1630,On the Motion to Table S.Amdt. 1457: Motion to Table Amdt. No. 1457; To provide that nothing would prohibit States or localities from implementing more stringent standards for radio-nuclides.,1/2,3/4/1990,08:35PM,Motion to Table Failed,To provide that nothing would prohibit States or localities from implementing more stringent standards for radio-nuclides.,33,67,
55,1990,55,101,2,Senate,S. 1630,"On Passage of the Bill: S. 1630 - Clean Air Act; A bill to amend the Clean Air Act to provide for attainment and maintenance of health protective national ambient air quality standards, and for other purposes.",1/2,3/4/1990,09:02PM,Bill Passed,"A bill to amend the Clean Air Act to provide for attainment and maintenance of health protective national ambient air quality standards, and for other purposes.",89,11,
56,1990,56,101,2,Senate,PN1161,On the Nomination: Nomination - Ryan,1/2,4/4/1990,05:12PM,Nomination Confirmed,"Timothy Ryan, of Virginia, to be Director of the Office of Thrift Supervision for a term of five years",62,37,1
57,1990,57,101,2,Senate,H.R. 7,On Passage of the Bill: H.R. 7; A bill to amend the Carl D. Perkins Vocational Education Act to extend the authorities contained in such Act through the fiscal year 1995.,1/2,5/4/1990,02:13PM,Bill Passed,A bill to amend the Carl D. Perkins Vocational Education Act to extend the authorities contained in such Act through the fiscal year 1995.,96,0,4
58,1990,58,101,2,Senate,H.R. 1594,On the Amendment S.Amdt. 1464: Roth Amdt. No. 1464; To provide administrative procedures for noncontroversial tariff suspensions.,1/2,19/4/1990,07:17PM,Amendment Agreed to,To provide administrative procedures for noncontroversial tariff suspensions.,90,3,6
59,1990,59,101,2,Senate,H.R. 1594,On the Amendment S.Amdt. 1511: Packwood Amdt. No. 1511; To restrict exports from certain State lands.,1/2,24/4/1990,03:00PM,Amendment Agreed to,To restrict exports from certain State lands.,81,17,1
60,1990,60,101,2,Senate,H.R. 1594,On the Amendment S.Amdt. 1513: Sanford Amdt. No. 1513; To suspend temporarily the duty on ranitidine hydrochloride.,1/2,24/4/1990,04:37PM,Amendment Agreed to,To suspend temporarily the duty on ranitidine hydrochloride.,68,30,1
61,1990,61,101,2,Senate,H.R. 1594,On the Motion to Table S.Amdt. 1515: Motion to Table Amdt. No. 1515; To reduce by 50 percent the duty on rubber-soled and fabric upper footwear imported from Caribbean Basin countries.,1/2,24/4/1990,07:20PM,Motion to Table Agreed to,To reduce by 50 percent the duty on rubber-soled and fabric upper footwear imported from Caribbean Basin countries.,63,33,3
62,1990,62,101,2,Senate,H.R. 1594,On the Motion to Table S.Amdt. 1520: Motion to Table Amdt. No. 1520; To authorize the transfer of certain seized property.,1/2,24/4/1990,07:55PM,Motion to Table Agreed to,To authorize the transfer of certain seized property.,62,31,6
63,1990,63,101,2,Senate,H.R. 1594,On Passage of the Bill: H.R. 1594 - Final Passage; An Act to make miscellaneous and technical changes to various trade laws.,1/2,24/4/1990,08:24PM,Bill Passed,An Act to make miscellaneous and technical changes to various trade laws.,92,0,7
64,1990,64,101,2,Senate,H.R. 4404,"On the Motion to Table S.Amdt. 1524: Motion to Table Amdt. No. 1524; To provide additional appropriations for Indian Health facilities, DOE Environmental Restoration and Waste Management activities, and certain Department of Agriculture emergency conservation programs, and for other purposes.",1/2,26/4/1990,05:57PM,Motion to Table Agreed to,"To provide additional appropriations for Indian Health facilities, DOE Environmental Restoration and Waste Management activities, and certain Department of Agriculture emergency conservation programs, and for other purposes.",51,48,
65,1990,65,101,2,Senate,H.R. 4404,"On the Motion S.Amdt. 1534: Motion to Waive CBA re: Amdt. No. 1534; To repeal certain provisions of law and to provide for the submission of reports under the Foreign Relations Authorization Act, Fiscal Years 1990 and 1991.",3/5,26/4/1990,10:25PM,Motion Agreed to,"To repeal certain provisions of law and to provide for the submission of reports under the Foreign Relations Authorization Act, Fiscal Years 1990 and 1991.",62,30,7
66,1990,66,101,2,Senate,H.R. 4404,On the Amendment S.Amdt. 1540: Byrd Amdt. No. 1540; To require a study and report on how United States foreign assistance programs may promote United States economic competitiveness.,1/2,27/4/1990,09:31AM,Amendment Agreed to,To require a study and report on how United States foreign assistance programs may promote United States economic competitiveness.,96,0,3
67,1990,67,101,2,Senate,H.R. 4404,"On the Amendment: Committee Amdt. p-25, lines 17-21; A bill making dire emergency supplemental appropriations for disaster assistance, food stamps, unemployment compensation administration, and other urgent needs, and transfers, and reducing funds budgeted for military spending for the fiscal year September 30, 1990, and for otther purposes.",1/2,27/4/1990,11:10AM,Amendment Agreed to,"A bill making dire emergency supplemental appropriations for disaster assistance, food stamps, unemployment compensation administration, and other urgent needs, and transfers, and reducing funds budgeted for military spending for the fiscal year September 30, 1990, and for otther purposes.",96,0,3
68,1990,68,101,2,Senate,H.R. 4404,On the Decision of the Chair S.Amdt. 1542: Ruling of the Chair Not Sustained; To provide for a study in the District of Columbia for a system of early childhood educational development programs.,1/2,27/4/1990,11:50AM,Decision of Chair Not Sustained,To provide for a study in the District of Columbia for a system of early childhood educational development programs.,45,51,3
69,1990,69,101,2,Senate,H.R. 4404,Whether the Amendment is Germane S.Amdt. 1542: Amdt. No. 1542 Germane; To provide for a study in the District of Columbia for a system of early childhood educational development programs.,1/2,27/4/1990,01:30PM,Amendment Germane,To provide for a study in the District of Columbia for a system of early childhood educational development programs.,54,42,3
70,1990,70,101,2,Senate,H.R. 4404,On the Amendment S.Amdt. 1542: Adams Amdt. No. 1542; To provide for a study in the District of Columbia for a system of early childhood educational development programs.,1/2,27/4/1990,01:58PM,Amendment Agreed to,To provide for a study in the District of Columbia for a system of early childhood educational development programs.,96,0,3
71,1990,71,101,2,Senate,H.R. 4404,On the Motion to Table S.Amdt. 1550: Motion to Table Amdt. No. 1550; To provide the death penalty in the District of Columbia for a drug-related murder.,1/2,27/4/1990,04:05PM,Motion to Table Failed,To provide the death penalty in the District of Columbia for a drug-related murder.,27,60,12
72,1990,72,101,2,Senate,H.R. 4404,"On the Motion to Table S.Amdt. 1555: Motion to Table Amdt. No. 1555; To forgive producers who have been adversely affected by a major disaster or emergency occuring in 1990 from repaying certain advance deficiency payments, with an offset.",1/2,30/4/1990,08:44PM,Motion to Table Agreed to,"To forgive producers who have been adversely affected by a major disaster or emergency occuring in 1990 from repaying certain advance deficiency payments, with an offset.",52,43,4
73,1990,73,101,2,Senate,H.R. 4404,On the Motion to Table S.Amdt. 1549: Motion to Table Amdt. No. 1549; Relating to Air Force operation and maintenance expenditures.,1/2,30/4/1990,09:08PM,Motion to Table Failed,Relating to Air Force operation and maintenance expenditures.,39,57,3
74,1990,74,101,2,Senate,H.R. 4404,"On the Motion S.Amdt. 1554: Motion to Waive the Budget Act; To make an additional $19,000,000 available to the Department of Justice for financial fraud investigations.",3/5,30/4/1990,09:37PM,Motion Rejected,"To make an additional $19,000,000 available to the Department of Justice for financial fraud investigations.",48,50,1
75,1990,75,101,2,Senate,H.R. 4404,On the Amendment S.Amdt. 1569: D'amato Amdt. No. 1569; Relating to the President's announced intention to submit to the Senate a trade agreement with the Soviet Union after the Summit.,1/2,1/5/1990,04:58PM,Amendment Agreed to,Relating to the President's announced intention to submit to the Senate a trade agreement with the Soviet Union after the Summit.,73,24,2
76,1990,76,101,2,Senate,S. 135,"On the Cloture Motion: Motion To Invoke Cloture On S.135; A bill to amend title 5, United States Code, to restore to Federal civilian employees their right to participate voluntarily, as private citizens, in the political processes of the Nation, to protect such employees from improper political solicitations, and for other purposes.",3/5,1/5/1990,07:02PM,Cloture Motion Agreed to,"A bill to amend title 5, United States Code, to restore to Federal civilian employees their right to participate voluntarily, as private citizens, in the political processes of the Nation, to protect such employees from improper political solicitations, and for other purposes.",70,28,1
77,1990,77,101,2,Senate,S. 135,On the Motion to Table S.Amdt. 1576: Roth Substitute Amdt. No. 1576; To clarify and simplify regulations regarding the political activities of certain Federal employees.,1/2,3/5/1990,04:02PM,Motion to Table Agreed to,To clarify and simplify regulations regarding the political activities of certain Federal employees.,67,30,2
78,1990,78,101,2,Senate,S. 135,"On the Motion to Table S.Amdt. 1581: Motion To Table S.Amdt. No. 1581; To provide that the provisions of subchapter III of chapter 73 of title 5, United States Code, shall not apply to certain Federal employees serving as president of a national labor organization, and for other purposes.",1/2,3/5/1990,05:56PM,Motion to Table Agreed to,"To provide that the provisions of subchapter III of chapter 73 of title 5, United States Code, shall not apply to certain Federal employees serving as president of a national labor organization, and for other purposes.",66,29,4
79,1990,79,101,2,Senate,S. 135,"On the Motion to Table S.Amdt. 1582: Wilson Amdt. No. 1582; To provide for a report by the General Accounting Office concerning political activities of Federal employees, and for other purposes.",1/2,3/5/1990,06:35PM,Motion to Table Agreed to,"To provide for a report by the General Accounting Office concerning political activities of Federal employees, and for other purposes.",59,35,5
80,1990,80,101,2,Senate,S. 135,On the Motion to Table S.Amdt. 1585: Motion To Table Amdt. No. 1585; To modify the definition of a partisan political office.,1/2,8/5/1990,12:01PM,Motion to Table Agreed to,To modify the definition of a partisan political office.,64,32,3
81,1990,81,101,2,Senate,S. 135,"On the Motion to Table S.Amdt. 1586: MotionTo Table Amdt. No. 1586; To provide limitations on the political activities of certain employees of intelligence and law enforcement agencies, and for other purposes.",1/2,8/5/1990,12:28PM,Motion to Table Agreed to,"To provide limitations on the political activities of certain employees of intelligence and law enforcement agencies, and for other purposes.",51,46,2
82,1990,82,101,2,Senate,S. 135,On the Motion to Table S.Amdt. 1587: Motion To Table Amdt. No. 1587; To delay the effective date of the Act until bans on PAC contributions and soft money are enacted.,1/2,8/5/1990,12:44PM,Motion to Table Agreed to,To delay the effective date of the Act until bans on PAC contributions and soft money are enacted.,61,36,2
83,1990,83,101,2,Senate,S. 135,On the Motion to Table S.Amdt. 1590: Motion To Table Amdt. 1590; To provide military personnel the same political freedoms as Federal civilian employees.,1/2,8/5/1990,03:40PM,Motion to Table Agreed to,To provide military personnel the same political freedoms as Federal civilian employees.,66,30,3
84,1990,84,101,2,Senate,S. 135,On the Motion to Table S.Amdt. 1591: Motion To Table S.Amdt. 1591; To protect employees from political activities of federal Employee labor organizations.,1/2,9/5/1990,03:06PM,Motion to Table Agreed to,To protect employees from political activities of federal Employee labor organizations.,63,35,1
85,1990,85,101,2,Senate,S. 135,"On the Motion to Table S.Amdt. 1607: Motion To Table S.Amdt. 1607; To provide that the employees of each department and agency may select either current law or the proposed amendment to subchapter III of chapter 73 of title 5, United States Code, to apply, and for other purposes.",1/2,9/5/1990,04:04PM,Motion to Table Agreed to,"To provide that the employees of each department and agency may select either current law or the proposed amendment to subchapter III of chapter 73 of title 5, United States Code, to apply, and for other purposes.",62,36,1
86,1990,86,101,2,Senate,S. 135,"On the Motion to Table S.Amdt. 1608: Motion To Table S.Amdt. 1608; To prohibit Federal employees from soliciting, accepting, or receiving a political contribution from any person.",1/2,9/5/1990,05:47PM,Motion to Table Agreed to,"To prohibit Federal employees from soliciting, accepting, or receiving a political contribution from any person.",63,35,1
